[22:32:57] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[22:32:57] [INIT] Loaded plugins:
[22:32:57] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgePlugin
[22:32:57] [INIT] - io.github.mortuusars.exposure.integration.kubejs.ExposureJSPlugin
[22:32:57] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbquests.kubejs.KubeJSIntegration
[22:32:57] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbteams.kubejs.FTBTeamsKubeJSPlugin
[22:32:57] [INFO] Loaded script server_scripts:eyeofender.js in 0.008 s
[22:32:57] [INFO] Loaded script server_scripts:backpacked.js in 0.001 s
[22:32:57] [INFO] Loaded script server_scripts:rabbithide.js in 0.0 s
[22:32:57] [INFO] Loaded script server_scripts:dixtasarmorydiamondlongsword.js in 0.0 s
[22:32:57] [INFO] Loaded script server_scripts:diamondbattleaxe.js in 0.001 s
[22:32:57] [INFO] Loaded script server_scripts:sophisticatedbackpacks.js in 0.001 s
[22:32:57] [INFO] Loaded script server_scripts:brewingstand.js in 0.0 s
[22:32:57] [INFO] Loaded script server_scripts:chitinhelmet.js in 0.0 s
[22:32:57] [INFO] Loaded script server_scripts:enchantingtable.js in 0.001 s
[22:32:57] [INFO] Loaded 9/9 KubeJS server scripts in 0.034 s with 0 errors and 0 warnings
[22:32:57] [INFO] Scripts loaded
[22:32:57] [INFO] Initializing recipe event...
[22:33:01] [INFO] Processing recipes...
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:necromium_shortsword_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'arphex:spacetime_helmet[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'arphex:spectral_legs[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:necromium_halberd_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:adamantite_rapier_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:adamantite_throwing_knife_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:adamantite_katana_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:necromium_zweihander_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:adamantite_glaive_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:adamantite_longsword_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:silver_halberd[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:electrum_glaive_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'arphex:jugger_boot[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:electrum_spear_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:electrum_rapier_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:necromium_stiletto_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'arphex:spectral_chest[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'arphex:umbral_helm[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'arphex:spectral_boots[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:electrum_halberd_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:electrum_twinblade_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:adamantite_dagger_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:electrum_javelin_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'arphex:chitin_legs_3[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'arphex:chitin_legs_2[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'arphex:vital_boots_upgrade[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:electrum_katana_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:necromium_longsword_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:silver_chakram[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'arphex:vital_leggings_upgrade[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'arphex:jugger_chest[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:necromium_battle_axe_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:necromium_shuriken_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:silver_rapier[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:silver_longsword[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:necromium_javelin_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:netherite_spear_two_handed_smithing[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'base' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'arphex:chitin_chestplate_2[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'arphex:chitin_chestplate_3[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:silver_dagger[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:silver_zweihander[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:necromium_spear_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dustydecorations:gold_pile_reverse_recipe[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:netherite_battle_axe_two_handed_smithing[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'base' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:silver_greatsword[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:silver_javelin[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:electrum_stiletto_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:necromium_throwing_knife_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:adamantite_stiletto_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:silver_stiletto[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'arphex:chitin_boots_3[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'arphex:chitin_boots_2[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'arphex:infernal_boots_upgrade[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:adamantite_zweihander_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'arphex:spacetime_leggings[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:electrum_shuriken_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:adamantite_shortsword_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:necromium_rapier_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:necromium_katana_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:silver_battle_axe[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:silver_throwing_knife[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:electrum_chakram_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:silver_pike[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:netherite_katana_two_handed_smithing[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'base' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:electrum_battle_axe_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:necromium_glaive_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'arphex:umbral_chest[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:silver_katana[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:adamantite_pike_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'arphex:chitin_helmet_2[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'arphex:chitin_helmet_3[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[22:33:01] [WARN] Failed to parse recipe 'dixtas_armory:necromium_pike_smithing[minecraft:smithing_transform]'! Falling back to vanilla: ItemStack 'result' can't be empty!
